"","SRR1027171","SRR1027172","SRR1027173","SRR1027174","SRR1027175","SRR1027176","SRR1027177","SRR1027178","SRR1027179","SRR1027180","SRR1027181","SRR1027182","SRR1027183","SRR1027184","SRR1027185","SRR1027186","SRR1027187","SRR1027188","SRR1027189","SRR1027190"
"ENSG00000004142.7",562,194,1481,1058,620,593,2414,823,982,490,1088,960,553,1315,1462,425,550,1765,1529,1298
"ENSG00000244045.6",45,20,196,107,67,39,151,174,124,49,112,77,64,144,120,53,38,83,48,58
"ENSG00000258924.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264302.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265618.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000109072.9",16,3,53,6,3,7,31,17,26,8,37,28,9,21,14,8,3,12,18,11
"ENSG00000273171.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004139.9",40,9,135,38,34,27,147,46,50,48,74,112,36,21,99,19,26,51,80,90
"ENSG00000076351.8",50,4,254,57,32,43,266,81,109,83,137,98,51,36,72,49,28,67,78,122
"ENSG00000264098.1",9,3,32,4,4,7,22,14,26,18,19,16,8,11,34,10,1,16,23,29
"ENSG00000265254.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265541.1",1,0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000263870.1",2,0,15,1,3,1,1,0,0,1,3,1,0,0,0,0,1,0,2,0
"ENSG00000258472.4",16,3,37,15,3,7,16,11,12,8,15,8,3,9,8,3,1,40,44,25
"ENSG00000183405.5",31,13,20,55,25,30,38,11,29,8,39,5,30,70,31,10,22,47,74,49
"ENSG00000007216.10",31,0,246,21,11,18,28,15,30,20,27,15,10,0,4,0,6,627,561,620
"ENSG00000109101.3",36,0,123,15,6,10,18,16,27,7,21,10,1,0,2,0,0,7,2,11
"ENSG00000109103.7",148,67,527,231,137,124,542,240,294,154,283,205,171,451,509,148,91,565,529,432
"ENSG00000087111.16",244,48,551,249,167,115,621,367,310,219,256,249,254,503,374,235,83,825,697,675
"ENSG00000109107.9",60,21,560,240,68,141,282,34,60,46,226,10,39,106,86,16,24,636,312,390
"ENSG00000265168.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000076382.12",288,45,594,557,113,237,591,196,186,81,181,206,334,729,946,305,70,147,166,86
"ENSG00000227543.3",14,1,39,16,8,9,20,16,21,7,11,8,25,42,27,16,6,6,14,12
"ENSG00000264608.1",4,1,14,2,2,3,5,3,3,1,1,1,3,4,2,3,0,12,6,8
"ENSG00000265287.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167524.10",12,1,40,13,5,6,8,12,19,13,12,13,22,50,27,17,3,4,6,5
"ENSG00000007202.10",1153,420,3783,2453,1211,1048,4168,1911,2236,1711,2806,2304,1879,2634,5519,2745,1040,1960,1928,1740
"ENSG00000264044.1",4,0,8,4,1,2,7,3,7,1,5,3,13,12,26,5,0,1,0,0
"ENSG00000132581.5",162,41,509,318,131,137,623,289,279,126,315,239,156,224,287,180,98,860,599,804
"ENSG00000240494.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000109111.10",880,191,2064,719,523,396,1143,1230,1262,847,935,843,1022,1189,1760,701,293,3497,4103,6363
"ENSG00000265205.1",16,3,14,5,6,4,9,5,8,7,9,7,16,18,18,3,1,6,1,1
"ENSG00000167525.9",62,5,222,65,21,28,39,83,58,41,76,22,12,17,26,20,4,60,43,51
"ENSG00000109113.13",216,83,620,699,250,221,860,137,289,345,416,514,123,355,87,260,79,1125,993,998
"ENSG00000198242.9",174,112,350,852,306,189,1031,553,683,470,776,778,686,1083,1653,681,482,6196,4372,4275
"ENSG00000238423.1",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000264577.1",30,3,55,50,21,23,63,28,26,13,15,20,22,48,41,15,16,16,73,27
"ENSG00000238578.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238649.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238597.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000160606.6",35,12,87,61,52,43,146,60,84,14,57,61,34,42,59,41,28,88,33,27
"ENSG00000160602.9",50,4,96,50,28,25,122,48,57,37,59,26,33,58,57,34,19,138,87,68
"ENSG00000267729.1",3,0,4,1,2,0,2,2,3,0,3,0,1,2,0,0,0,2,1,0
